date,depression,anxiety,suicide,worry,fear,worrying,sad,Country
2020-07-06,75,48,20,0,42,0,22,AU
2020-07-07,43,66,41,40,14,0,0,AU
2020-07-08,56,77,0,0,73,0,45,AU
2020-07-09,50,59,41,0,14,0,0,AU
2020-07-10,38,40,22,21,15,0,23,AU
2020-07-11,57,55,23,23,16,0,0,AU
2020-07-12,43,41,22,22,46,0,24,AU
2020-07-13,62,57,0,39,14,0,0,AU
2020-07-14,35,32,20,19,27,0,0,AU
2020-07-15,51,67,21,40,28,0,44,AU
2020-07-16,66,73,42,20,85,0,44,AU
2020-07-17,53,54,65,0,0,0,0,AU
2020-07-18,42,66,0,0,66,0,0,AU
2020-07-19,60,34,91,22,47,0,24,AU
2020-07-20,50,68,41,20,28,0,0,AU
2020-07-21,60,48,41,39,14,0,0,AU
2020-07-22,57,75,0,20,14,0,0,AU
2020-07-23,38,57,60,39,54,0,21,AU
2020-07-24,38,61,0,42,44,0,23,AU
2020-07-25,50,65,47,0,48,0,100,AU
2020-07-26,50,55,89,22,15,0,23,AU
2020-07-27,58,63,78,19,53,34,41,AU
2020-07-28,55,66,20,19,67,0,21,AU
2020-07-29,46,65,20,20,28,35,0,AU
2020-07-30,59,47,40,39,27,0,0,AU
2020-07-31,75,43,21,21,88,37,45,AU
2020-08-01,60,64,73,24,33,0,0,AU
2020-08-02,48,34,46,0,16,0,0,AU
2020-08-03,27,66,78,0,53,0,21,AU
2020-08-04,41,86,20,19,27,0,21,AU
2020-08-05,21,63,59,19,13,69,0,AU
2020-08-06,38,66,20,76,67,0,62,AU
2020-08-07,64,75,81,20,55,35,43,AU
2020-08-08,24,57,23,22,47,0,49,AU
2020-08-09,42,36,0,0,15,39,0,AU
2020-08-10,57,74,0,0,26,0,0,AU
2020-08-11,48,73,58,19,13,0,0,AU
2020-08-12,44,70,58,56,53,0,0,AU
2020-08-13,38,51,39,0,13,34,21,AU
2020-08-14,32,66,62,20,42,36,22,AU
2020-08-15,72,63,23,0,16,0,0,AU
2020-08-16,62,46,22,21,75,0,23,AU
2020-08-17,41,75,20,38,53,34,0,AU
2020-08-18,51,68,19,38,13,0,0,AU
2020-08-19,51,61,20,0,13,0,0,AU
2020-08-20,37,70,20,19,53,0,21,AU
2020-08-21,59,76,42,20,14,0,0,AU
2020-08-22,53,49,70,0,64,0,0,AU
2020-08-23,55,84,45,22,61,39,24,AU
2020-08-24,41,56,20,38,67,0,0,AU
2020-08-25,63,57,20,19,14,35,0,AU
2020-08-26,80,77,100,0,41,70,0,AU
2020-08-27,59,67,60,58,27,0,0,AU
2020-08-28,33,63,21,21,29,0,22,AU
2020-08-29,29,77,24,0,33,0,51,AU
2020-08-30,47,48,91,22,62,0,0,AU
2020-08-31,57,55,58,19,26,34,20,AU
2020-01-01,53,42,14,24,34,0,0,CA
2020-01-02,44,68,12,43,30,0,48,CA
2020-01-03,58,49,23,0,19,0,46,CA
2020-01-04,40,45,0,0,40,0,48,CA
2020-01-05,54,52,12,0,10,0,72,CA
2020-01-06,63,62,33,0,0,34,85,CA
2020-01-07,78,52,0,20,9,0,67,CA
2020-01-08,54,52,44,19,46,0,65,CA
2020-01-09,62,57,34,60,9,0,44,CA
2020-01-10,68,40,23,40,9,0,45,CA
2020-01-11,42,47,38,0,10,0,50,CA
2020-01-12,36,45,12,0,50,0,47,CA
2020-01-13,83,32,21,19,43,0,0,CA
2020-01-14,69,69,30,0,50,0,79,CA
2020-01-15,68,78,22,57,36,0,21,CA
2020-01-16,71,55,57,0,37,0,22,CA
2020-01-17,66,66,46,0,48,0,0,CA
2020-01-18,63,34,26,45,21,0,25,CA
2020-01-19,79,36,0,0,10,39,0,CA
2020-01-20,63,50,34,0,38,36,67,CA
2020-01-21,88,77,46,0,66,36,45,CA
2020-01-22,47,52,68,40,0,0,22,CA
2020-01-23,79,82,23,0,29,0,23,CA
2020-01-24,61,43,23,0,48,0,69,CA
2020-01-25,57,37,26,23,0,41,0,CA
2020-01-26,70,63,12,0,40,38,48,CA
2020-01-27,80,75,33,38,27,34,43,CA
2020-01-28,83,68,45,0,28,0,44,CA
2020-01-29,100,56,68,80,9,0,22,CA
2020-01-30,89,74,46,20,38,36,45,CA
2020-01-31,65,64,35,83,10,0,70,CA
2020-02-01,68,48,0,23,32,0,26,CA
2020-02-02,76,44,50,0,21,39,25,CA
2020-02-03,78,68,53,56,53,33,21,CA
2020-02-04,50,65,45,40,28,0,22,CA
2020-02-05,97,71,57,0,0,0,67,CA
2020-02-06,85,100,91,20,38,71,22,CA
2020-02-07,95,64,69,41,19,0,45,CA
2020-02-08,46,41,52,0,43,40,25,CA
2020-02-09,67,52,26,0,63,0,25,CA
2020-02-10,73,54,33,0,9,0,22,CA
2020-02-11,64,41,11,19,53,0,42,CA
2020-02-12,89,69,32,38,18,34,21,CA
2020-02-13,68,53,22,0,37,0,0,CA
2020-02-14,89,35,12,0,10,0,23,CA
2020-02-15,46,54,13,45,32,0,0,CA
2020-02-16,75,59,26,0,65,0,0,CA
2020-02-17,58,55,23,62,19,0,0,CA
2020-02-18,84,84,33,38,0,0,64,CA
2020-02-19,54,65,22,58,18,0,22,CA
2020-02-20,95,70,11,40,19,0,22,CA
2020-02-21,68,42,11,100,9,0,22,CA
2020-02-22,54,50,12,87,10,0,24,CA
2020-02-23,64,55,49,22,20,0,48,CA
2020-02-24,82,94,21,0,62,33,42,CA
2020-02-25,71,63,54,38,36,0,21,CA
2020-02-26,77,51,21,37,17,0,41,CA
2020-02-27,54,65,31,74,9,0,41,CA
2020-02-28,65,40,22,19,18,34,0,CA
2020-02-29,86,45,24,86,10,0,24,CA
2020-03-01,66,48,12,0,20,0,70,CA
2020-03-02,89,62,21,56,35,0,41,CA
2020-03-03,69,65,21,0,26,0,20,CA
2020-03-04,69,67,11,74,35,0,21,CA
2020-03-05,86,71,65,0,36,0,42,CA
2020-03-06,83,51,11,77,36,0,21,CA
2020-03-07,65,64,47,0,59,0,0,CA
2020-03-08,78,59,35,63,49,0,0,CA
2020-03-09,69,62,31,18,52,33,20,CA
2020-03-10,66,61,0,18,50,0,59,CA
2020-03-11,66,73,53,37,17,33,41,CA
2020-03-12,41,51,30,71,33,0,20,CA
2020-03-13,45,56,21,36,60,32,41,CA
2020-03-14,50,59,36,21,100,38,0,CA
2020-03-15,51,63,12,21,29,36,23,CA
2020-03-16,61,52,0,53,42,0,0,CA
2020-03-17,50,53,20,36,17,31,0,CA
2020-03-18,34,46,31,36,25,0,20,CA
2020-03-19,45,68,0,73,60,0,20,CA
2020-03-20,52,68,10,18,33,31,39,CA
2020-03-21,40,66,22,0,18,35,44,CA
2020-03-22,39,59,0,19,37,0,43,CA
2020-03-23,37,79,9,0,60,0,18,CA
2020-03-24,62,73,29,69,49,31,0,CA
2020-03-25,44,59,30,18,33,31,20,CA
2020-03-26,72,62,50,18,0,0,0,CA
2020-03-27,61,66,19,51,40,30,38,CA
2020-03-28,45,68,22,19,36,34,21,CA
2020-03-29,41,57,21,0,27,100,63,CA
2020-03-30,39,71,19,17,70,0,92,CA
2020-03-31,45,61,19,17,24,0,19,CA
2020-04-01,50,45,19,34,48,0,19,CA
2020-04-02,38,57,28,0,46,0,0,CA
2020-04-03,43,50,37,0,23,0,18,CA
2020-04-04,67,38,43,56,35,0,21,CA
2020-04-05,55,62,21,19,70,33,0,CA
2020-04-06,55,55,18,16,23,0,18,CA
2020-04-07,54,83,9,17,39,0,55,CA
2020-04-08,41,39,47,17,46,0,0,CA
2020-04-09,50,54,0,0,30,0,0,CA
2020-04-10,58,46,10,53,41,0,59,CA
2020-04-11,46,37,10,0,9,0,20,CA
2020-04-12,42,50,0,0,18,0,22,CA
2020-04-13,46,53,10,17,16,31,58,CA
2020-04-14,54,49,19,17,16,0,74,CA
2020-04-15,33,54,18,16,38,0,91,CA
2020-04-16,51,47,19,16,23,0,18,CA
2020-04-17,52,53,10,34,39,30,56,CA
2020-04-18,41,32,21,0,9,0,42,CA
2020-04-19,37,49,31,56,52,0,62,CA
2020-04-20,49,50,56,17,15,0,0,CA
2020-04-21,48,47,19,0,15,0,36,CA
2020-04-22,57,52,28,0,31,0,74,CA
2020-04-23,63,62,19,34,16,0,0,CA
2020-04-24,34,32,9,17,47,30,0,CA
2020-04-25,40,48,22,0,9,0,44,CA
2020-04-26,74,49,21,0,18,0,42,CA
2020-04-27,53,63,0,51,79,30,19,CA
2020-04-28,45,43,0,34,24,0,19,CA
2020-04-29,61,49,0,17,24,30,76,CA
2020-04-30,56,62,37,33,61,0,36,CA
2020-05-01,70,55,10,0,41,0,19,CA
2020-05-02,39,48,22,19,27,0,0,CA
2020-05-03,37,54,100,59,64,0,0,CA
2020-05-04,44,54,84,33,23,0,55,CA
2020-05-05,63,58,44,16,15,0,52,CA
2020-05-06,34,65,57,0,31,0,0,CA
2020-05-07,57,60,19,0,16,0,0,CA
2020-05-08,50,50,29,0,8,30,0,CA
2020-05-09,70,57,0,75,18,0,21,CA
2020-05-10,86,46,11,38,27,34,0,CA
2020-05-11,52,45,10,17,39,30,37,CA
2020-05-12,60,38,9,17,8,0,37,CA
2020-05-13,48,62,10,68,8,0,19,CA
2020-05-14,55,53,0,17,16,0,37,CA
2020-05-15,45,44,29,17,24,0,38,CA
2020-05-16,83,59,0,41,48,0,23,CA
2020-05-17,44,35,23,41,9,0,0,CA
2020-05-18,47,47,11,38,26,0,42,CA
2020-05-19,65,51,29,17,16,30,56,CA
2020-05-20,64,60,19,0,80,30,19,CA
2020-05-21,40,63,10,35,33,31,19,CA
2020-05-22,52,37,40,18,33,31,20,CA
2020-05-23,56,27,11,40,38,0,22,CA
2020-05-24,53,44,11,20,28,0,67,CA
2020-05-25,59,50,10,35,41,31,58,CA
2020-05-26,63,44,10,68,8,30,0,CA
2020-05-27,35,53,30,17,73,0,39,CA
2020-05-28,32,43,39,0,8,30,0,CA
2020-05-29,54,41,10,17,16,0,39,CA
2020-05-30,40,49,0,20,9,0,0,CA
2020-05-31,58,53,22,20,46,0,22,CA
2020-06-01,38,59,39,0,32,0,19,CA
2020-06-02,26,69,19,34,24,0,19,CA
2020-06-03,59,52,18,48,37,28,0,CA
2020-06-04,54,52,9,33,8,0,19,CA
2020-06-05,53,54,27,16,23,28,18,CA
2020-06-06,50,39,0,19,9,0,21,CA
2020-06-07,37,50,11,20,47,0,45,CA
2020-06-08,43,50,9,49,38,29,0,CA
2020-06-09,60,56,38,50,16,30,19,CA
2020-06-10,73,58,39,17,24,0,19,CA
2020-06-11,51,64,39,35,24,0,19,CA
2020-06-12,42,51,10,36,25,0,20,CA
2020-06-13,84,55,24,0,19,0,0,CA
2020-06-14,71,54,35,21,20,0,23,CA
2020-06-15,64,54,0,36,8,0,39,CA
2020-06-16,66,42,10,18,41,0,20,CA
2020-06-17,51,38,31,18,9,0,0,CA
2020-06-18,77,68,31,37,26,0,20,CA
2020-06-19,47,61,21,19,18,0,0,CA
2020-06-20,40,37,12,22,30,0,0,CA
2020-06-21,43,49,24,0,40,0,0,CA
2020-06-22,53,56,0,36,25,32,20,CA
2020-06-23,51,67,20,54,8,0,0,CA
2020-06-24,48,75,31,18,26,0,41,CA
2020-06-25,32,72,42,0,43,0,0,CA
2020-06-26,66,64,33,0,18,0,0,CA
2020-06-27,46,63,36,0,60,38,0,CA
2020-06-28,62,44,12,21,10,0,0,CA
2020-06-29,59,51,43,19,45,0,42,CA
2020-06-30,44,54,0,19,44,0,0,CA
2020-07-01,48,35,23,0,29,0,0,CA
2020-07-02,45,60,43,38,54,0,0,CA
2020-07-03,63,50,44,0,18,34,0,CA
2020-07-04,93,47,13,0,31,0,25,CA
2020-07-05,54,52,12,44,10,0,24,CA
2020-07-06,35,53,32,37,26,33,21,CA
2020-07-07,44,64,0,38,18,0,0,CA
2020-07-08,72,46,31,19,35,0,21,CA
2020-07-09,35,45,0,0,27,33,63,CA
2020-07-10,51,55,0,58,27,0,0,CA
2020-07-11,44,47,12,0,19,0,23,CA
2020-07-12,74,47,35,0,49,0,23,CA
2020-07-13,67,71,53,75,35,0,21,CA
2020-07-14,71,56,11,19,27,0,0,CA
2020-07-15,73,69,33,58,27,0,0,CA
2020-07-16,72,70,22,0,36,0,21,CA
2020-07-17,56,32,34,40,19,0,0,CA
2020-07-18,57,46,13,0,11,0,26,CA
2020-07-19,38,58,25,22,0,40,100,CA
2020-07-20,54,43,33,39,27,0,65,CA
2020-07-21,52,55,34,0,37,0,66,CA
2020-07-22,79,82,22,59,28,69,44,CA
2020-07-23,49,60,22,59,18,0,0,CA
2020-07-24,86,57,23,21,39,0,46,CA
2020-07-25,52,36,27,71,22,0,26,CA
2020-07-26,56,58,38,90,21,0,25,CA
2020-07-27,57,62,11,0,27,0,43,CA
2020-07-28,55,52,33,39,46,0,22,CA
2020-07-29,55,41,33,0,9,35,22,CA
2020-07-30,34,58,45,79,19,0,22,CA
2020-07-31,22,55,58,62,38,0,23,CA
2020-08-01,50,53,26,23,11,0,0,CA
2020-08-02,64,54,0,22,41,0,0,CA
2020-08-03,50,51,45,0,9,0,22,CA
2020-08-04,40,85,42,37,17,0,62,CA
2020-08-05,59,63,21,38,27,34,42,CA
2020-08-06,46,60,33,0,18,0,43,CA
2020-08-07,37,51,22,0,28,0,0,CA
2020-08-08,49,41,0,22,21,0,50,CA
2020-08-09,69,51,50,0,41,0,49,CA
2020-08-10,51,65,11,0,55,0,0,CA
2020-08-11,38,56,32,19,44,0,0,CA
2020-08-12,45,74,0,0,27,34,0,CA
2020-08-13,71,63,0,19,0,0,21,CA
2020-08-14,41,65,34,20,19,0,22,CA
2020-08-15,46,52,0,0,22,0,51,CA
2020-08-16,41,64,13,45,42,0,0,CA
2020-08-17,39,51,22,57,36,0,21,CA
2020-08-18,44,56,11,19,44,0,63,CA
2020-08-19,58,50,0,39,37,0,0,CA
2020-08-20,87,57,0,0,27,0,0,CA
2020-08-21,40,41,22,0,9,35,22,CA
2020-08-22,31,34,25,0,21,0,25,CA
2020-08-23,70,62,51,23,0,0,0,CA
2020-08-24,32,66,53,19,26,66,42,CA
2020-08-25,87,51,11,19,18,0,21,CA
2020-08-26,58,80,44,20,37,35,22,CA
2020-08-27,36,80,0,19,45,0,42,CA
2020-08-28,69,46,0,20,48,0,23,CA
2020-08-29,53,52,24,0,20,0,47,CA
2020-08-30,64,44,25,0,51,0,0,CA
2020-08-31,53,60,22,0,27,34,0,CA
2020-01-01,70,57,9,10,32,70,89,GB
2020-01-02,50,76,0,28,41,21,23,GB
2020-01-03,85,70,24,28,12,0,35,GB
2020-01-04,53,60,8,20,43,22,37,GB
2020-01-05,76,74,34,29,55,0,36,GB
2020-01-06,72,88,24,19,35,21,81,GB
2020-01-07,63,85,15,36,34,61,100,GB
2020-01-08,73,84,61,9,72,40,77,GB
2020-01-09,79,86,8,27,23,0,45,GB
2020-01-10,66,70,8,9,66,64,82,GB
2020-01-11,52,73,17,39,55,0,36,GB
2020-01-12,71,75,25,29,24,44,60,GB
2020-01-13,89,79,14,33,32,19,42,GB
2020-01-14,70,98,14,57,21,0,20,GB
2020-01-15,61,90,24,46,58,0,46,GB
2020-01-16,58,65,32,28,53,0,69,GB
2020-01-17,74,67,41,19,18,86,82,GB
2020-01-18,58,53,9,30,25,0,25,GB
2020-01-19,62,72,34,10,19,0,36,GB
2020-01-20,86,80,24,66,41,21,23,GB
2020-01-21,80,89,16,28,47,21,23,GB
2020-01-22,84,89,16,55,35,21,23,GB
2020-01-23,88,73,16,65,47,21,35,GB
2020-01-24,45,80,8,57,18,0,24,GB
2020-01-25,49,60,26,50,32,23,25,GB
2020-01-26,63,80,8,37,53,42,47,GB
